# UCA Version: 3.1.1d6/3.2.0
# Generated:   2002-07-02,18:49:23 GMT [MD]
0009 0021;	0009
1D5C0 0041;	1D5C0
1D5F4 0041;	1D5F4
1D628 0041;	1D628
1D65C 0041;	1D65C
1D690 0041;	1D690
24D6 0061;	24D6
24D6 0041;	24D6
0047 0061;	0047
0047 0041;	0047
FF27 0061;	FF27
FF27 0041;	FF27
1D406 0061;	1D406
1D43A 0061;	1D43A
1D46E 0061;	1D46E
1D4A2 0061;	1D4A2
1D4D6 0061;	1D4D6
1D50A 0061;	1D50A
1D53E 0061;	1D53E
1D572 0061;	1D572
1D5A6 0061;	1D5A6
1D5DA 0061;	1D5DA
1D60E 0061;	1D60E
1D642 0061;	1D642
1D676 0061;	1D676
1D406 0041;	1D406
1D43A 0041;	1D43A
1D46E 0041;	1D46E
1D4A2 0041;	1D4A2
1D4D6 0041;	1D4D6
1D50A 0041;	1D50A
1D53E 0041;	1D53E
1D572 0041;	1D572
1D5A6 0041;	1D5A6
1D5DA 0041;	1D5DA
1D60E 0041;	1D60E
1D642 0041;	1D642
1D676 0041;	1D676
24BC 0061;	24BC
24BC 0041;	24BC
0067 00E1;	0067
FF47 00E1;	FF47
24A2 00E1;	24A2
210A 00E1;	210A
1D420 00E1;	1D420
1D454 00E1;	1D454
1D488 00E1;	1D488
1D4F0 00E1;	1D4F0
1D524 00E1;	1D524
1D558 00E1;	1D558
1D58C 00E1;	1D58C
1D5C0 00E1;	1D5C0
1D5F4 00E1;	1D5F4
1D628 00E1;	1D628
1D65C 00E1;	1D65C
1D690 00E1;	1D690
24D6 00E1;	24D6
0047 00E1;	0047
FF27 00E1;	FF27
1D406 00E1;	1D406
1D43A 00E1;	1D43A
1D46E 00E1;	1D46E
1D4A2 00E1;	1D4A2
1D4D6 00E1;	1D4D6
1D50A 00E1;	1D50A
1D53E 00E1;	1D53E
1D572 00E1;	1D572
1D5A6 00E1;	1D5A6
1D5DA 00E1;	1D5DA
1D60E 00E1;	1D60E
1D642 00E1;	1D642
1D676 00E1;	1D676
24BC 00E1;	24BC
01F5 0061;	01F5
01F5 0041;	01F5
01F4 0061;	01F4
01F4 0041;	01F4
01F5 00E1;	01F5
01F4 00E1;	01F4
011F 0061;	011F
011F 0041;	011F
011E 0061;	011E
011E 0041;	011E
011F 00E1;	011F
011E 00E1;	011E
011D 0061;	011D
011D 0041;	011D
011C 0061;	011C
011C 0041;	011C
011D 00E1;	011D
011C 00E1;	011C
01E7 0061;	01E7
01E7 0041;	01E7
01E6 0061;	01E6
01E6 0041;	01E6
01E7 00E1;	01E7
01E6 00E1;	01E6
0121 0061;	0121
0121 0041;	0121
0120 0061;	0120
0120 0041;	0120
0121 00E1;	0121
0120 00E1;	0120
0123 0061;	0123
0123 0041;	0123
0122 0061;	0122
0122 0041;	0122
0123 00E1;	0123
0122 00E1;	0122
1E21 0061;	1E21
1E21 0041;	1E21
1E20 0061;	1E20
1E20 0041;	1E20
1E21 00E1;	1E21
1E20 00E1;	1E20
0067 0062;	0067
FF47 0062;	FF47
24A2 0062;	24A2
210A 0062;	210A
1D420 0062;	1D420
1D454 0062;	1D454
1D488 0062;	1D488
1D4F0 0062;	1D4F0
1D524 0062;	1D524
1D558 0062;	1D558
1D58C 0062;	1D58C
1D5C0 0062;	1D5C0
1D5F4 0062;	1D5F4
1D628 0062;	1D628
1D65C 0062;	1D65C
1D690 0062;	1D690
24D6 0062;	24D6
0047 0062;	0047
FF27 0062;	FF27
1D406 0062;	1D406
1D43A 0062;	1D43A
1D46E 0062;	1D46E
1D4A2 0062;	1D4A2
1D4D6 0062;	1D4D6
1D50A 0062;	1D50A
1D53E 0062;	1D53E
1D572 0062;	1D572
1D5A6 0062;	1D5A6
1D5DA 0062;	1D5DA
1D60E 0062;	1D60E
1D642 0062;	1D642
1D676 0062;	1D676
24BC 0062;	24BC
3387 0021;	3387
01F5 0062;	01F5
01F4 0062;	01F4
011F 0062;	011F
011E 0062;	011E
011D 0062;	011D
011C 0062;	011C
01E7 0062;	01E7
01E6 0062;	01E6
0121 0062;	0121
0120 0062;	0120
0123 0062;	0123
0122 0062;	0122
1E21 0062;	1E21
1E20 0062;	1E20
3387 0061;	3387
3387 0041;	3387
3387 00E1;	3387
3387 0062;	3387
3393 0021;	3393
3393 0061;	3393
3393 0041;	3393
3393 00E1;	3393
3393 0062;	3393
33AC 0021;	33AC
33AC 0061;	33AC
33AC 0041;	33AC
33AC 00E1;	33AC
33AC 0062;	33AC
33C9 0021;	33C9
33C9 0061;	33C9
33C9 0041;	33C9
33C9 00E1;	33C9
33C9 0062;	33C9
0262 0021;	0262
0262 0061;	0262
0262 0041;	0262
0262 00E1;	0262
0262 0062;	0262
01E5 0021;	01E5
01E4 0021;	01E4
01E5 0061;	01E5
01E5 0041;	01E5
01E4 0061;	01E4
01E4 0041;	01E4
01E5 00E1;	01E5
01E4 00E1;	01E4
01E5 0062;	01E5
01E4 0062;	01E4
0260 0021;	0260
0193 0021;	0193
0260 0061;	0260
0260 0041;	0260
0193 0061;	0193
0193 0041;	0193
0260 00E1;	0260
0193 00E1;	0193
0260 0062;	0260
0193 0062;	0193
029B 0021;	029B
029B 0061;	029B
029B 0041;	029B
029B 00E1;	029B
029B 0062;	029B
0263 0021;	0263
0194 0021;	0194
02E0 0021;	02E0
0263 0061;	0263
0263 0041;	0263
0194 0061;	0194
0194 0041;	0194
02E0 0061;	02E0
02E0 0041;	02E0
0263 00E1;	0263
0194 00E1;	0194
02E0 00E1;	02E0
0263 0062;	0263
0194 0062;	0194
02E0 0062;	02E0
0261 0021;	0261
0261 0061;	0261
0261 0041;	0261
0261 00E1;	0261
0261 0062;	0261
01A3 0021;	01A3
01A2 0021;	01A2
01A3 0061;	01A3
01A3 0041;	01A3
01A2 0061;	01A2
01A2 0041;	01A2
01A3 00E1;	01A3
01A2 00E1;	01A2
01A3 0062;	01A3
01A2 0062;	01A2
0068 0021;	0068
FF48 0021;	FF48
24A3 0021;	24A3
210E 0021;	210E
1D421 0021;	1D421
1D489 0021;	1D489
1D4BD 0021;	1D4BD
1D4F1 0021;	1D4F1
1D525 0021;	1D525
1D559 0021;	1D559
1D58D 0021;	1D58D
1D5C1 0021;	1D5C1
1D5F5 0021;	1D5F5
1D629 0021;	1D629
1D65D 0021;	1D65D
1D691 0021;	1D691
24D7 0021;	24D7
0048 0021;	0048
FF28 0021;	FF28
210B 0021;	210B
210C 0021;	210C
210D 0021;	210D
1D407 0021;	1D407
1D43B 0021;	1D43B
1D46F 0021;	1D46F
1D4D7 0021;	1D4D7
1D573 0021;	1D573
1D5A7 0021;	1D5A7
1D5DB 0021;	1D5DB
1D60F 0021;	1D60F
1D643 0021;	1D643
1D677 0021;	1D677
24BD 0021;	24BD
02B0 0021;	02B0
0125 0021;	0125
0124 0021;	0124
021F 0021;	021F
021E 0021;	021E
1E27 0021;	1E27
1E26 0021;	1E26
1E23 0021;	1E23
1E22 0021;	1E22
1E29 0021;	1E29
1E28 0021;	1E28
1E25 0021;	1E25
1E24 0021;	1E24
1E2B 0021;	1E2B
1E2A 0021;	1E2A
1E96 0021;	1E96
0068 0302 0334;	0068 0302
0068 0334 0302;	0068 0334
0125 0334;	0125
0048 0302 0334;	0048 0302
0048 0334 0302;	0048 0334
0124 0334;	0124
0068 030C 0334;	0068 030C
0068 0334 030C;	0068 0334
021F 0334;	021F
0048 030C 0334;	0048 030C
0048 0334 030C;	0048 0334
021E 0334;	021E
0068 0308 0334;	0068 0308
0068 0334 0308;	0068 0334
1E27 0334;	1E27
0048 0308 0334;	0048 0308
0048 0334 0308;	0048 0334
1E26 0334;	1E26
0068 0307 0334;	0068 0307
0068 0334 0307;	0068 0334
1E23 0334;	1E23
0048 0307 0334;	0048 0307
0048 0334 0307;	0048 0334
1E22 0334;	1E22
0068 0327 0334;	0068 0327
0068 0334 0327;	0068 0334
1E29 0334;	1E29
0048 0327 0334;	0048 0327
0048 0334 0327;	0048 0334
1E28 0334;	1E28
0068 0323 0334;	0068 0323
0068 0334 0323;	0068 0334
1E25 0334;	1E25
0048 0323 0334;	0048 0323
0048 0334 0323;	0048 0334
1E24 0334;	1E24
0068 032E 0334;	0068 032E
0068 0334 032E;	0068 0334
1E2B 0334;	1E2B
0048 032E 0334;	0048 032E
0048 0334 032E;	0048 0334
1E2A 0334;	1E2A
0068 0331 0334;	0068 0331
0068 0334 0331;	0068 0334
1E96 0334;	1E96
0068 0061;	0068
0068 0041;	0068
FF48 0061;	FF48
FF48 0041;	FF48
24A3 0061;	24A3
24A3 0041;	24A3
210E 0061;	210E
1D421 0061;	1D421
1D489 0061;	1D489
1D4BD 0061;	1D4BD
1D4F1 0061;	1D4F1
1D525 0061;	1D525
1D559 0061;	1D559
1D58D 0061;	1D58D
1D5C1 0061;	1D5C1
1D5F5 0061;	1D5F5
1D629 0061;	1D629
1D65D 0061;	1D65D
1D691 0061;	1D691
210E 0041;	210E
1D421 0041;	1D421
1D489 0041;	1D489
1D4BD 0041;	1D4BD
1D4F1 0041;	1D4F1
1D525 0041;	1D525
1D559 0041;	1D559
1D58D 0041;	1D58D
1D5C1 0041;	1D5C1
1D5F5 0041;	1D5F5
1D629 0041;	1D629
1D65D 0041;	1D65D
1D691 0041;	1D691
24D7 0061;	24D7
24D7 0041;	24D7
0048 0061;	0048
0048 0041;	0048
FF28 0061;	FF28
FF28 0041;	FF28
210B 0061;	210B
210C 0061;	210C
210D 0061;	210D
1D407 0061;	1D407
1D43B 0061;	1D43B
1D46F 0061;	1D46F
1D4D7 0061;	1D4D7
1D573 0061;	1D573
1D5A7 0061;	1D5A7
1D5DB 0061;	1D5DB
1D60F 0061;	1D60F
1D643 0061;	1D643
1D677 0061;	1D677
210B 0041;	210B
210C 0041;	210C
210D 0041;	210D
1D407 0041;	1D407
1D43B 0041;	1D43B
1D46F 0041;	1D46F
1D4D7 0041;	1D4D7
1D573 0041;	1D573
1D5A7 0041;	1D5A7
1D5DB 0041;	1D5DB
1D60F 0041;	1D60F
1D643 0041;	1D643
1D677 0041;	1D677
24BD 0061;	24BD
24BD 0041;	24BD
02B0 0061;	02B0
02B0 0041;	02B0
33CA 0021;	33CA
0068 00E1;	0068
FF48 00E1;	FF48
24A3 00E1;	24A3
210E 00E1;	210E
1D421 00E1;	1D421
1D489 00E1;	1D489
1D4BD 00E1;	1D4BD
1D4F1 00E1;	1D4F1
1D525 00E1;	1D525
1D559 00E1;	1D559
1D58D 00E1;	1D58D
1D5C1 00E1;	1D5C1
1D5F5 00E1;	1D5F5
1D629 00E1;	1D629
1D65D 00E1;	1D65D
1D691 00E1;	1D691
24D7 00E1;	24D7
0048 00E1;	0048
FF28 00E1;	FF28
210B 00E1;	210B
210C 00E1;	210C
210D 00E1;	210D
1D407 00E1;	1D407
1D43B 00E1;	1D43B
1D46F 00E1;	1D46F
1D4D7 00E1;	1D4D7
1D573 00E1;	1D573
1D5A7 00E1;	1D5A7
1D5DB 00E1;	1D5DB
1D60F 00E1;	1D60F
1D643 00E1;	1D643
1D677 00E1;	1D677
24BD 00E1;	24BD
02B0 00E1;	02B0
0125 0061;	0125
0125 0041;	0125
0124 0061;	0124
0124 0041;	0124
0125 00E1;	0125
0124 00E1;	0124
021F 0061;	021F
021F 0041;	021F
021E 0061;	021E
021E 0041;	021E
021F 00E1;	021F
021E 00E1;	021E
1E27 0061;	1E27
1E27 0041;	1E27
1E26 0061;	1E26
1E26 0041;	1E26
1E27 00E1;	1E27
1E26 00E1;	1E26
1E23 0061;	1E23
1E23 0041;	1E23
1E22 0061;	1E22
1E22 0041;	1E22
1E23 00E1;	1E23
1E22 00E1;	1E22
1E29 0061;	1E29
1E29 0041;	1E29
1E28 0061;	1E28
1E28 0041;	1E28
1E29 00E1;	1E29
1E28 00E1;	1E28
1E25 0061;	1E25
1E25 0041;	1E25
1E24 0061;	1E24
1E24 0041;	1E24
1E25 00E1;	1E25
1E24 00E1;	1E24
1E2B 0061;	1E2B
1E2B 0041;	1E2B
1E2A 0061;	1E2A
1E2A 0041;	1E2A
1E2B 00E1;	1E2B
1E2A 00E1;	1E2A
1E96 0061;	1E96
1E96 0041;	1E96
1E96 00E1;	1E96
33CA 0061;	33CA
33CA 0041;	33CA
33CA 00E1;	33CA
33CA 0062;	33CA
0068 0062;	0068
FF48 0062;	FF48
24A3 0062;	24A3
210E 0062;	210E
1D421 0062;	1D421
1D489 0062;	1D489
1D4BD 0062;	1D4BD
1D4F1 0062;	1D4F1
1D525 0062;	1D525
1D559 0062;	1D559
1D58D 0062;	1D58D
1D5C1 0062;	1D5C1
1D5F5 0062;	1D5F5
1D629 0062;	1D629
1D65D 0062;	1D65D
1D691 0062;	1D691
24D7 0062;	24D7
0048 0062;	0048
FF28 0062;	FF28
210B 0062;	210B
210C 0062;	210C
210D 0062;	210D
1D407 0062;	1D407
1D43B 0062;	1D43B
1D46F 0062;	1D46F
1D4D7 0062;	1D4D7
1D573 0062;	1D573
1D5A7 0062;	1D5A7
1D5DB 0062;	1D5DB
1D60F 0062;	1D60F
1D643 0062;	1D643
1D677 0062;	1D677
24BD 0062;	24BD
02B0 0062;	02B0
0125 0062;	0125
0124 0062;	0124
021F 0062;	021F
021E 0062;	021E
1E27 0062;	1E27
1E26 0062;	1E26
1E23 0062;	1E23
1E22 0062;	1E22
1E29 0062;	1E29
1E28 0062;	1E28
1E25 0062;	1E25
1E24 0062;	1E24
1E2B 0062;	1E2B
1E2A 0062;	1E2A
1E96 0062;	1E96
33CB 0021;	33CB
3371 0021;	3371
33CB 0061;	33CB
33CB 0041;	33CB
33CB 00E1;	33CB
3371 0061;	3371
3371 0041;	3371
3371 00E1;	3371
3371 0062;	3371
33CB 0062;	33CB
3390 0021;	3390
3390 0061;	3390
3390 0041;	3390
3390 00E1;	3390
3390 0062;	3390
029C 0021;	029C
029C 0061;	029C
029C 0041;	029C
029C 00E1;	029C
029C 0062;	029C
0195 0021;	0195
01F6 0021;	01F6
0195 0061;	0195
0195 0041;	0195
01F6 0061;	01F6
01F6 0041;	01F6
0195 00E1;	0195
01F6 00E1;	01F6
0195 0062;	0195
01F6 0062;	01F6
0127 0021;	0127
210F 0021;	210F
0126 0021;	0126
0127 0061;	0127
0127 0041;	0127
210F 0061;	210F
210F 0041;	210F
0126 0061;	0126
0126 0041;	0126
0127 00E1;	0127
210F 00E1;	210F
0126 00E1;	0126
0127 0062;	0127
210F 0062;	210F
0126 0062;	0126
0266 0021;	0266
02B1 0021;	02B1
0266 0061;	0266
0266 0041;	0266
02B1 0061;	02B1
02B1 0041;	02B1
0266 00E1;	0266
02B1 00E1;	02B1
0266 0062;	0266
02B1 0062;	02B1
0267 0021;	0267
0267 0061;	0267
0267 0041;	0267
0267 00E1;	0267
0267 0062;	0267
02BB 0021;	02BB
02BB 0061;	02BB
02BB 0041;	02BB
02BB 00E1;	02BB
02BB 0062;	02BB
02BD 0021;	02BD
02BD 0061;	02BD
02BD 0041;	02BD
02BD 00E1;	02BD
02BD 0062;	02BD
0069 0021;	0069
FF49 0021;	FF49
24A4 0021;	24A4
2170 0021;	2170
2139 0021;	2139
1D422 0021;	1D422
1D456 0021;	1D456
1D48A 0021;	1D48A
1D4BE 0021;	1D4BE
1D4F2 0021;	1D4F2
1D526 0021;	1D526
1D55A 0021;	1D55A
1D58E 0021;	1D58E
1D5C2 0021;	1D5C2
1D5F6 0021;	1D5F6
1D62A 0021;	1D62A
1D65E 0021;	1D65E
1D692 0021;	1D692
24D8 0021;	24D8
0049 0021;	0049
FF29 0021;	FF29
2160 0021;	2160
2110 0021;	2110
2111 0021;	2111
1D408 0021;	1D408
1D43C 0021;	1D43C
1D470 0021;	1D470
1D4D8 0021;	1D4D8
1D540 0021;	1D540
1D574 0021;	1D574
1D5A8 0021;	1D5A8
1D5DC 0021;	1D5DC
1D610 0021;	1D610
1D644 0021;	1D644
1D678 0021;	1D678
24BE 0021;	24BE
00ED 0021;	00ED
00CD 0021;	00CD
00EC 0021;	00EC
00CC 0021;	00CC
012D 0021;	012D
012C 0021;	012C
00EE 0021;	00EE
00CE 0021;	00CE
01D0 0021;	01D0
01CF 0021;	01CF
00EF 0021;	00EF
00CF 0021;	00CF
1E2F 0021;	1E2F
1E2E 0021;	1E2E
0129 0021;	0129
0128 0021;	0128
0130 0021;	0130
012F 0021;	012F
012E 0021;	012E
012B 0021;	012B
012A 0021;	012A
1EC9 0021;	1EC9
1EC8 0021;	1EC8
0209 0021;	0209
0208 0021;	0208
020B 0021;	020B
020A 0021;	020A
1ECB 0021;	1ECB
1ECA 0021;	1ECA
1E2D 0021;	1E2D
1E2C 0021;	1E2C
0069 0301 0334;	0069 0301
0069 0334 0341;	0069 0334
0069 0341 0334;	0069 0341
00ED 0334;	00ED
0049 0301 0334;	0049 0301
0049 0334 0301;	0049 0334
0049 0341 0334;	0049 0341
00CD 0334;	00CD
0069 0334 0300;	0069 0334
0069 0334 0340;	0069 0334
0069 0340 0334;	0069 0340
00EC 0334;	00EC
0049 0300 0334;	0049 0300
0049 0334 0300;	0049 0334
0049 0340 0334;	0049 0340
00CC 0334;	00CC
0069 0306 0334;	0069 0306
0069 0334 0306;	0069 0334
012D 0334;	012D
0049 0306 0334;	0049 0306
0049 0334 0306;	0049 0334
012C 0334;	012C
0069 0302 0334;	0069 0302
0069 0334 0302;	0069 0334
00EE 0334;	00EE
0049 0302 0334;	0049 0302
0049 0334 0302;	0049 0334
00CE 0334;	00CE
0069 030C 0334;	0069 030C
0069 0334 030C;	0069 0334
01D0 0334;	01D0
0049 030C 0334;	0049 030C
0049 0334 030C;	0049 0334
01CF 0334;	01CF
0069 0308 0334;	0069 0308
0069 0334 0308;	0069 0334
00EF 0334;	00EF
0049 0308 0334;	0049 0308
0049 0334 0308;	0049 0334
00CF 0334;	00CF
0069 0308 0301 0334;	0069 0308 0301
0069 0334 0344;	0069 0334
0069 0344 0334;	0069 0344
00EF 0334 0301;	00EF 0334
0049 0308 0334 0341;	0049 0308 0334
0049 0308 0341 0334;	0049 0308 0341
0049 0334 0308 0341;	0049 0334 0308
1E2E 0334;	1E2E
0069 0303 0334;	0069 0303
0069 0334 0303;	0069 0334
0129 0334;	0129
0049 0303 0334;	0049 0303
0049 0334 0303;	0049 0334
0128 0334;	0128
0049 0307 0334;	0049 0307
0049 0334 0307;	0049 0334
0130 0334;	0130
0069 0328 0334;	0069 0328
0069 0334 0328;	0069 0334
012F 0334;	012F
0049 0328 0334;	0049 0328
0049 0334 0328;	0049 0334
012E 0334;	012E
0069 0304 0334;	0069 0304
0069 0334 0304;	0069 0334
012B 0334;	012B
0049 0304 0334;	0049 0304
0049 0334 0304;	0049 0334
012A 0334;	012A
0069 0309 0334;	0069 0309
0069 0334 0309;	0069 0334
1EC9 0334;	1EC9
0049 0309 0334;	0049 0309
0049 0334 0309;	0049 0334
1EC8 0334;	1EC8
0069 030F 0334;	0069 030F
0069 0334 030F;	0069 0334
0209 0334;	0209
0049 030F 0334;	0049 030F
0049 0334 030F;	0049 0334
0208 0334;	0208
0069 0311 0334;	0069 0311
0069 0334 0311;	0069 0334
020B 0334;	020B
0049 0311 0334;	0049 0311
0049 0334 0311;	0049 0334
020A 0334;	020A
0069 0323 0334;	0069 0323
0069 0334 0323;	0069 0334
1ECB 0334;	1ECB
0049 0323 0334;	0049 0323
0049 0334 0323;	0049 0334
1ECA 0334;	1ECA
0069 0330 0334;	0069 0330
0069 0334 0330;	0069 0334
1E2D 0334;	1E2D
0049 0330 0334;	0049 0330
0049 0334 0330;	0049 0334
1E2C 0334;	1E2C
0069 0061;	0069
0069 0041;	0069
FF49 0061;	FF49
FF49 0041;	FF49
24A4 0061;	24A4
2170 0061;	2170
24A4 0041;	24A4
2170 0041;	2170
2139 0061;	2139
1D422 0061;	1D422
1D456 0061;	1D456
1D48A 0061;	1D48A
1D4BE 0061;	1D4BE
1D4F2 0061;	1D4F2
1D526 0061;	1D526
1D55A 0061;	1D55A
1D58E 0061;	1D58E
1D5C2 0061;	1D5C2
1D5F6 0061;	1D5F6
1D62A 0061;	1D62A
1D65E 0061;	1D65E
1D692 0061;	1D692
2139 0041;	2139
1D422 0041;	1D422
1D456 0041;	1D456
1D48A 0041;	1D48A
1D4BE 0041;	1D4BE
1D4F2 0041;	1D4F2
1D526 0041;	1D526
1D55A 0041;	1D55A
1D58E 0041;	1D58E
1D5C2 0041;	1D5C2
1D5F6 0041;	1D5F6
1D62A 0041;	1D62A
1D65E 0041;	1D65E
1D692 0041;	1D692
24D8 0061;	24D8
24D8 0041;	24D8
0049 0061;	0049
0049 0041;	0049
FF29 0061;	FF29
FF29 0041;	FF29
2160 0061;	2160
2160 0041;	2160
2110 0061;	2110
2111 0061;	2111
1D408 0061;	1D408
1D43C 0061;	1D43C
1D470 0061;	1D470
1D4D8 0061;	1D4D8
1D540 0061;	1D540
1D574 0061;	1D574
1D5A8 0061;	1D5A8
1D5DC 0061;	1D5DC
1D610 0061;	1D610
1D644 0061;	1D644
1D678 0061;	1D678
2110 0041;	2110
2111 0041;	2111
1D408 0041;	1D408
1D43C 0041;	1D43C
1D470 0041;	1D470
1D4D8 0041;	1D4D8
1D540 0041;	1D540
1D574 0041;	1D574
1D5A8 0041;	1D5A8
1D5DC 0041;	1D5DC
1D610 0041;	1D610
1D644 0041;	1D644
1D678 0041;	1D678
24BE 0061;	24BE
24BE 0041;	24BE
0069 00E1;	0069
FF49 00E1;	FF49
24A4 00E1;	24A4
2170 00E1;	2170
2139 00E1;	2139
1D422 00E1;	1D422
1D456 00E1;	1D456
1D48A 00E1;	1D48A
1D4BE 00E1;	1D4BE
1D4F2 00E1;	1D4F2
1D526 00E1;	1D526
1D55A 00E1;	1D55A
1D58E 00E1;	1D58E
1D5C2 00E1;	1D5C2
1D5F6 00E1;	1D5F6
1D62A 00E1;	1D62A
1D65E 00E1;	1D65E
1D692 00E1;	1D692
24D8 00E1;	24D8
0049 00E1;	0049
FF29 00E1;	FF29
2160 00E1;	2160
2110 00E1;	2110
2111 00E1;	2111
1D408 00E1;	1D408
1D43C 00E1;	1D43C
1D470 00E1;	1D470
1D4D8 00E1;	1D4D8
1D540 00E1;	1D540
1D574 00E1;	1D574
1D5A8 00E1;	1D5A8
1D5DC 00E1;	1D5DC
1D610 00E1;	1D610
1D644 00E1;	1D644
1D678 00E1;	1D678
24BE 00E1;	24BE
00ED 0061;	00ED
00ED 0041;	00ED
00CD 0061;	00CD
00CD 0041;	00CD
00ED 00E1;	00ED
00CD 00E1;	00CD
00EC 0061;	00EC
00EC 0041;	00EC
00CC 0061;	00CC
00CC 0041;	00CC
00EC 00E1;	00EC
00CC 00E1;	00CC
012D 0061;	012D
012D 0041;	012D
012C 0061;	012C
012C 0041;	012C
012D 00E1;	012D
012C 00E1;	012C
00EE 0061;	00EE
00EE 0041;	00EE
00CE 0061;	00CE
00CE 0041;	00CE
00EE 00E1;	00EE
00CE 00E1;	00CE
01D0 0061;	01D0
01D0 0041;	01D0
01CF 0061;	01CF
01CF 0041;	01CF
01D0 00E1;	01D0
01CF 00E1;	01CF
00EF 0061;	00EF
00EF 0041;	00EF
00CF 0061;	00CF
00CF 0041;	00CF
00EF 00E1;	00EF
00CF 00E1;	00CF
1E2F 0061;	1E2F
1E2F 0041;	1E2F
1E2E 0061;	1E2E
1E2E 0041;	1E2E
1E2F 00E1;	1E2F
1E2E 00E1;	1E2E
0129 0061;	0129
0129 0041;	0129
0128 0061;	0128
0128 0041;	0128
0129 00E1;	0129
0128 00E1;	0128
0130 0061;	0130
0130 0041;	0130
0130 00E1;	0130
012F 0061;	012F
012F 0041;	012F
012E 0061;	012E
012E 0041;	012E
012F 00E1;	012F
012E 00E1;	012E
012B 0061;	012B
012B 0041;	012B
012A 0061;	012A
012A 0041;	012A
012B 00E1;	012B
012A 00E1;	012A
1EC9 0061;	1EC9
1EC9 0041;	1EC9
1EC8 0061;	1EC8
1EC8 0041;	1EC8
1EC9 00E1;	1EC9
1EC8 00E1;	1EC8
0209 0061;	0209
0209 0041;	0209
0208 0061;	0208
0208 0041;	0208
0209 00E1;	0209
0208 00E1;	0208
020B 0061;	020B
020B 0041;	020B
020A 0061;	020A
020A 0041;	020A
020B 00E1;	020B
020A 00E1;	020A
1ECB 0061;	1ECB
1ECB 0041;	1ECB
1ECA 0061;	1ECA
1ECA 0041;	1ECA
1ECB 00E1;	1ECB
1ECA 00E1;	1ECA
1E2D 0061;	1E2D
1E2D 0041;	1E2D
1E2C 0061;	1E2C
1E2C 0041;	1E2C
1E2D 00E1;	1E2D
1E2C 00E1;	1E2C
0069 0062;	0069
FF49 0062;	FF49
24A4 0062;	24A4
2170 0062;	2170
2139 0062;	2139
1D422 0062;	1D422
1D456 0062;	1D456
1D48A 0062;	1D48A
1D4BE 0062;	1D4BE
1D4F2 0062;	1D4F2
1D526 0062;	1D526
1D55A 0062;	1D55A
1D58E 0062;	1D58E
1D5C2 0062;	1D5C2
1D5F6 0062;	1D5F6
1D62A 0062;	1D62A
1D65E 0062;	1D65E
1D692 0062;	1D692
24D8 0062;	24D8
0049 0062;	0049
FF29 0062;	FF29
2160 0062;	2160
2110 0062;	2110
2111 0062;	2111
1D408 0062;	1D408
1D43C 0062;	1D43C
1D470 0062;	1D470
1D4D8 0062;	1D4D8
1D540 0062;	1D540
1D574 0062;	1D574
1D5A8 0062;	1D5A8
1D5DC 0062;	1D5DC
1D610 0062;	1D610
1D644 0062;	1D644
1D678 0062;	1D678
24BE 0062;	24BE
00ED 0062;	00ED
00CD 0062;	00CD
00EC 0062;	00EC
00CC 0062;	00CC
012D 0062;	012D
012C 0062;	012C
00EE 0062;	00EE
00CE 0062;	00CE
01D0 0062;	01D0
01CF 0062;	01CF
00EF 0062;	00EF
00CF 0062;	00CF
1E2F 0062;	1E2F
1E2E 0062;	1E2E
0129 0062;	0129
0128 0062;	0128
0130 0062;	0130
012F 0062;	012F
012E 0062;	012E
012B 0062;	012B
012A 0062;	012A
1EC9 0062;	1EC9
1EC8 0062;	1EC8
0209 0062;	0209
0208 0062;	0208
020B 0062;	020B
020A 0062;	020A
1ECB 0062;	1ECB
1ECA 0062;	1ECA
1E2D 0062;	1E2D
1E2C 0062;	1E2C
2171 0021;	2171
2161 0021;	2161
2171 0061;	2171
2171 0041;	2171
2161 0061;	2161
2161 0041;	2161
2171 00E1;	2171
2161 00E1;	2161
2171 0062;	2171
2161 0062;	2161
2172 0021;	2172
2162 0021;	2162
2172 0061;	2172
2172 0041;	2172
2162 0061;	2162
2162 0041;	2162
2172 00E1;	2172
2162 00E1;	2162
2172 0062;	2172
2162 0062;	2162
0133 0021;	0133
0132 0021;	0132
0133 0061;	0133
0133 0041;	0133
0132 0061;	0132
0132 0041;	0132
0133 00E1;	0133
0132 00E1;	0132
0133 0062;	0133
0132 0062;	0132
33CC 0021;	33CC
33CC 0061;	33CC
33CC 0041;	33CC
33CC 00E1;	33CC
33CC 0062;	33CC
2173 0021;	2173
2163 0021;	2163
2173 0061;	2173
2173 0041;	2173
2163 0061;	2163
2163 0041;	2163
2173 00E1;	2173
2163 00E1;	2163
2173 0062;	2173
2163 0062;	2163
2178 0021;	2178
2168 0021;	2168
2178 0061;	2178
2178 0041;	2178
2168 0061;	2168
2168 0041;	2168
2178 00E1;	2178
2168 00E1;	2168
2178 0062;	2178
2168 0062;	2168
0131 0021;	0131
0131 0061;	0131
0131 0041;	0131
0131 00E1;	0131
0131 0062;	0131
026A 0021;	026A
026A 0061;	026A
026A 0041;	026A
026A 00E1;	026A
026A 0062;	026A
0268 0021;	0268
0197 0021;	0197
0268 0061;	0268
0268 0041;	0268
0197 0061;	0197
0197 0041;	0197
0268 00E1;	0268
0197 00E1;	0197
0268 0062;	0268
0197 0062;	0197
0269 0021;	0269
