# Original file:
# IdnaMappingTable-5.2.0.txt- DRAFT
# Date: 2010-03-31 20:48:03 GMT [MD]
#
# Unicode IDNA Compatible Preprocessing (UTS #46)
# Copyright (c) 1991-2009 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr46/

# ================================================
# This file has been reformatted into syntax for the
# gennorm2 Normalizer2 data generator tool.
# Reformatting via regular expressions:
#   s/; disallowed   />FFFD/
#   s/; ignored      />/
#   s/^([^;]+)  ; valid/# \1valid/
#   s/; mapped     ; />/
#   s/^([^;]+)  ; deviation/# \1deviation/
#   s/   +(\#  [^\#]+)$/  \1/
#
# Except: Disallowed ASCII characters are passed through;
# they are handled in code.
# Deviation characters are also handled in code.
#
# A circular mapping FFFD>FFFD is avoided by rewriting the line that contains
# ..FFFD to contain ..FFFC instead.
#
# Use this file as the second gennorm2 input file after nfc.txt.
# ================================================

# 0000..002C (allow ASCII)  #  <control-0000>..COMMA
# 002D..002E  valid  #  HYPHEN-MINUS..FULL STOP
# 002F       (allow ASCII)  #  SOLIDUS
# 0030..0039  valid  #  DIGIT ZERO..DIGIT NINE
# 003A..0040 (allow ASCII)  #  COLON..COMMERCIAL AT
2060          >  #  WORD JOINER
2061..2063    >FFFD  #  FUNCTION APPLICATION..INVISIBLE SEPARATOR
2064          >  #  INVISIBLE PLUS
2065..2069    >FFFD  #  <reserved-2065>..<reserved-2069>
206A..206F    >FFFD  #  INHIBIT SYMMETRIC SWAPPING..NOMINAL DIGIT SHAPES
2070          >0030  #  SUPERSCRIPT ZERO
2071          >0069  #  SUPERSCRIPT LATIN SMALL LETTER I
2072..2073    >FFFD  #  <reserved-2072>..<reserved-2073>
2074          >0034  #  SUPERSCRIPT FOUR
2075          >0035  #  SUPERSCRIPT FIVE
2076          >0036  #  SUPERSCRIPT SIX
2077          >0037  #  SUPERSCRIPT SEVEN
2078          >0038  #  SUPERSCRIPT EIGHT
2079          >0039  #  SUPERSCRIPT NINE
207A          >FFFD  #  SUPERSCRIPT PLUS SIGN
207B          >2212  #  SUPERSCRIPT MINUS
207C..207E    >FFFD  #  SUPERSCRIPT EQUALS SIGN..SUPERSCRIPT RIGHT PARENTHESIS
207F          >006E  #  SUPERSCRIPT LATIN SMALL LETTER N
2080          >0030  #  SUBSCRIPT ZERO
2081          >0031  #  SUBSCRIPT ONE
2082          >0032  #  SUBSCRIPT TWO
2083          >0033  #  SUBSCRIPT THREE
2084          >0034  #  SUBSCRIPT FOUR
2085          >0035  #  SUBSCRIPT FIVE
2086          >0036  #  SUBSCRIPT SIX
2087          >0037  #  SUBSCRIPT SEVEN
2088          >0038  #  SUBSCRIPT EIGHT
2089          >0039  #  SUBSCRIPT NINE
208A          >FFFD  #  SUBSCRIPT PLUS SIGN
208B          >2212  #  SUBSCRIPT MINUS
208C..208E    >FFFD  #  SUBSCRIPT EQUALS SIGN..SUBSCRIPT RIGHT PARENTHESIS
208F          >FFFD  #  <reserved-208F>
2090          >0061  #  LATIN SUBSCRIPT SMALL LETTER A
2091          >0065  #  LATIN SUBSCRIPT SMALL LETTER E
2092          >006F  #  LATIN SUBSCRIPT SMALL LETTER O
2093          >0078  #  LATIN SUBSCRIPT SMALL LETTER X
2094          >0259  #  LATIN SUBSCRIPT SMALL LETTER SCHWA
2095..209F    >FFFD  #  <reserved-2095>..<reserved-209F>
# 20A0..20A7  valid  #  EURO-CURRENCY SIGN..PESETA SIGN
20A8          >0072 0073  #  RUPEE SIGN
# 20A9..20B8  valid  #  WON SIGN..TENGE SIGN
20B9..20CF    >FFFD  #  <reserved-20B9>..<reserved-20CF>
# 20D0..20F0  valid  #  COMBINING LEFT HARPOON ABOVE..COMBINING ASTERISK ABOVE
20F1..20FF    >FFFD  #  <reserved-20F1>..<reserved-20FF>
2100..2101    >FFFD  #  ACCOUNT OF..ADDRESSED TO THE SUBJECT
2102          >0063  #  DOUBLE-STRUCK CAPITAL C
2103          >00B0 0063  #  DEGREE CELSIUS
# 2104        valid  #  CENTRE LINE SYMBOL
2105..2106    >FFFD  #  CARE OF..CADA UNA
2107          >025B  #  EULER CONSTANT
# 2108        valid  #  SCRUPLE
2109          >00B0 0066  #  DEGREE FAHRENHEIT
210A          >0067  #  SCRIPT SMALL G
210B..210E    >0068  #  SCRIPT CAPITAL H..PLANCK CONSTANT
210F          >0127  #  PLANCK CONSTANT OVER TWO PI
2110..2111    >0069  #  SCRIPT CAPITAL I..BLACK-LETTER CAPITAL I
2112..2113    >006C  #  SCRIPT CAPITAL L..SCRIPT SMALL L
# 2114        valid  #  L B BAR SYMBOL
2115          >006E  #  DOUBLE-STRUCK CAPITAL N
2116          >006E 006F  #  NUMERO SIGN
# 2117..2118  valid  #  SOUND RECORDING COPYRIGHT..SCRIPT CAPITAL P
2119          >0070  #  DOUBLE-STRUCK CAPITAL P
211A          >0071  #  DOUBLE-STRUCK CAPITAL Q
211B..211D    >0072  #  SCRIPT CAPITAL R..DOUBLE-STRUCK CAPITAL R
# 211E..211F  valid  #  PRESCRIPTION TAKE..RESPONSE
2120          >0073 006D  #  SERVICE MARK
2121          >0074 0065 006C  #  TELEPHONE SIGN
2122          >0074 006D  #  TRADE MARK SIGN
# 2123        valid  #  VERSICLE
2124          >007A  #  DOUBLE-STRUCK CAPITAL Z
# 2125        valid  #  OUNCE SIGN
2126          >03C9  #  OHM SIGN
# 2127        valid  #  INVERTED OHM SIGN
2128          >007A  #  BLACK-LETTER CAPITAL Z
# 2129        valid  #  TURNED GREEK SMALL LETTER IOTA
212A          >006B  #  KELVIN SIGN
212B          >00E5  #  ANGSTROM SIGN
212C          >0062  #  SCRIPT CAPITAL B
212D          >0063  #  BLACK-LETTER CAPITAL C
# 212E        valid  #  ESTIMATED SYMBOL
212F..2130    >0065  #  SCRIPT SMALL E..SCRIPT CAPITAL E
2131          >0066  #  SCRIPT CAPITAL F
2132          >FFFD  #  TURNED CAPITAL F
2133          >006D  #  SCRIPT CAPITAL M
2134          >006F  #  SCRIPT SMALL O
2135          >05D0  #  ALEF SYMBOL
2136          >05D1  #  BET SYMBOL
2137          >05D2  #  GIMEL SYMBOL
2138          >05D3  #  DALET SYMBOL
2139          >0069  #  INFORMATION SOURCE
# 213A        valid  #  ROTATED CAPITAL Q
213B          >0066 0061 0078  #  FACSIMILE SIGN
213C          >03C0  #  DOUBLE-STRUCK SMALL PI
213D..213E    >03B3  #  DOUBLE-STRUCK SMALL GAMMA..DOUBLE-STRUCK CAPITAL GAMMA
213F          >03C0  #  DOUBLE-STRUCK CAPITAL PI
2140          >2211  #  DOUBLE-STRUCK N-ARY SUMMATION
# 2141..2144  valid  #  TURNED SANS-SERIF CAPITAL G..TURNED SANS-SERIF CAPITAL Y
2145..2146    >0064  #  DOUBLE-STRUCK ITALIC CAPITAL D..DOUBLE-STRUCK ITALIC SMALL D
2147          >0065  #  DOUBLE-STRUCK ITALIC SMALL E
2148          >0069  #  DOUBLE-STRUCK ITALIC SMALL I
2149          >006A  #  DOUBLE-STRUCK ITALIC SMALL J
# 214A..214F  valid  #  PROPERTY LINE..SYMBOL FOR SAMARITAN SOURCE
2150          >0031 2044 0037  #  VULGAR FRACTION ONE SEVENTH
2151          >0031 2044 0039  #  VULGAR FRACTION ONE NINTH
2152          >0031 2044 0031 0030  #  VULGAR FRACTION ONE TENTH
2153          >0031 2044 0033  #  VULGAR FRACTION ONE THIRD
2154          >0032 2044 0033  #  VULGAR FRACTION TWO THIRDS
2155          >0031 2044 0035  #  VULGAR FRACTION ONE FIFTH
2156          >0032 2044 0035  #  VULGAR FRACTION TWO FIFTHS
2157          >0033 2044 0035  #  VULGAR FRACTION THREE FIFTHS
2158          >0034 2044 0035  #  VULGAR FRACTION FOUR FIFTHS
2159          >0031 2044 0036  #  VULGAR FRACTION ONE SIXTH
215A          >0035 2044 0036  #  VULGAR FRACTION FIVE SIXTHS
215B          >0031 2044 0038  #  VULGAR FRACTION ONE EIGHTH
215C          >0033 2044 0038  #  VULGAR FRACTION THREE EIGHTHS
215D          >0035 2044 0038  #  VULGAR FRACTION FIVE EIGHTHS
215E          >0037 2044 0038  #  VULGAR FRACTION SEVEN EIGHTHS
215F          >0031 2044  #  FRACTION NUMERATOR ONE
2160          >0069  #  ROMAN NUMERAL ONE
2161          >0069 0069  #  ROMAN NUMERAL TWO
2162          >0069 0069 0069  #  ROMAN NUMERAL THREE
2163          >0069 0076  #  ROMAN NUMERAL FOUR
2164          >0076  #  ROMAN NUMERAL FIVE
2165          >0076 0069  #  ROMAN NUMERAL SIX
2166          >0076 0069 0069  #  ROMAN NUMERAL SEVEN
2167          >0076 0069 0069 0069  #  ROMAN NUMERAL EIGHT
2168          >0069 0078  #  ROMAN NUMERAL NINE
2169          >0078  #  ROMAN NUMERAL TEN
216A          >0078 0069  #  ROMAN NUMERAL ELEVEN
216B          >0078 0069 0069  #  ROMAN NUMERAL TWELVE
216C          >006C  #  ROMAN NUMERAL FIFTY
216D          >0063  #  ROMAN NUMERAL ONE HUNDRED
216E          >0064  #  ROMAN NUMERAL FIVE HUNDRED
216F          >006D  #  ROMAN NUMERAL ONE THOUSAND
2170          >0069  #  SMALL ROMAN NUMERAL ONE
2171          >0069 0069  #  SMALL ROMAN NUMERAL TWO
2172          >0069 0069 0069  #  SMALL ROMAN NUMERAL THREE
2173          >0069 0076  #  SMALL ROMAN NUMERAL FOUR
2174          >0076  #  SMALL ROMAN NUMERAL FIVE
2175          >0076 0069  #  SMALL ROMAN NUMERAL SIX
2176          >0076 0069 0069  #  SMALL ROMAN NUMERAL SEVEN
2177          >0076 0069 0069 0069  #  SMALL ROMAN NUMERAL EIGHT
2178          >0069 0078  #  SMALL ROMAN NUMERAL NINE
2179          >0078  #  SMALL ROMAN NUMERAL TEN
217A          >0078 0069  #  SMALL ROMAN NUMERAL ELEVEN
217B          >0078 0069 0069  #  SMALL ROMAN NUMERAL TWELVE
217C          >006C  #  SMALL ROMAN NUMERAL FIFTY
217D          >0063  #  SMALL ROMAN NUMERAL ONE HUNDRED
217E          >0064  #  SMALL ROMAN NUMERAL FIVE HUNDRED
217F          >006D  #  SMALL ROMAN NUMERAL ONE THOUSAND
# 2180..2182  valid  #  ROMAN NUMERAL ONE THOUSAND C D..ROMAN NUMERAL TEN THOUSAND
2183          >FFFD  #  ROMAN NUMERAL REVERSED ONE HUNDRED
# 2184..2188  valid  #  LATIN SMALL LETTER REVERSED C..ROMAN NUMERAL ONE HUNDRED THOUSAND
2189          >0030 2044 0033  #  VULGAR FRACTION ZERO THIRDS
218A..218F    >FFFD  #  <reserved-218A>..<reserved-218F>
# 2190..222B  valid  #  LEFTWARDS ARROW..INTEGRAL
222C          >222B 222B  #  DOUBLE INTEGRAL
222D          >222B 222B 222B  #  TRIPLE INTEGRAL
# 222E        valid  #  CONTOUR INTEGRAL
222F          >222E 222E  #  SURFACE INTEGRAL
2230          >222E 222E 222E  #  VOLUME INTEGRAL
# 2231..225F  valid  #  CLOCKWISE INTEGRAL..QUESTIONED EQUAL TO
2260          >FFFD  #  NOT EQUAL TO
# 2261..226D  valid  #  IDENTICAL TO..NOT EQUIVALENT TO
226E..226F    >FFFD  #  NOT LESS-THAN..NOT GREATER-THAN
# 2270..2328  valid  #  NEITHER LESS-THAN NOR EQUAL TO..KEYBOARD
2329          >3008  #  LEFT-POINTING ANGLE BRACKET
232A          >3009  #  RIGHT-POINTING ANGLE BRACKET
# 232B..23E8  valid  #  ERASE TO THE LEFT..DECIMAL EXPONENT SYMBOL
23E9..23FF    >FFFD  #  <reserved-23E9>..<reserved-23FF>
# 2400..2426  valid  #  SYMBOL FOR NULL..SYMBOL FOR SUBSTITUTE FORM TWO
2427..243F    >FFFD  #  <reserved-2427>..<reserved-243F>
# 2440..244A  valid  #  OCR HOOK..OCR DOUBLE BACKSLASH
244B..245F    >FFFD  #  <reserved-244B>..<reserved-245F>
2460          >0031  #  CIRCLED DIGIT ONE
2461          >0032  #  CIRCLED DIGIT TWO
2462          >0033  #  CIRCLED DIGIT THREE
2463          >0034  #  CIRCLED DIGIT FOUR
2464          >0035  #  CIRCLED DIGIT FIVE
2465          >0036  #  CIRCLED DIGIT SIX
2466          >0037  #  CIRCLED DIGIT SEVEN
2467          >0038  #  CIRCLED DIGIT EIGHT
2468          >0039  #  CIRCLED DIGIT NINE
2469          >0031 0030  #  CIRCLED NUMBER TEN
246A          >0031 0031  #  CIRCLED NUMBER ELEVEN
246B          >0031 0032  #  CIRCLED NUMBER TWELVE
246C          >0031 0033  #  CIRCLED NUMBER THIRTEEN
246D          >0031 0034  #  CIRCLED NUMBER FOURTEEN
246E          >0031 0035  #  CIRCLED NUMBER FIFTEEN
246F          >0031 0036  #  CIRCLED NUMBER SIXTEEN
2470          >0031 0037  #  CIRCLED NUMBER SEVENTEEN
2471          >0031 0038  #  CIRCLED NUMBER EIGHTEEN
2472          >0031 0039  #  CIRCLED NUMBER NINETEEN
2473          >0032 0030  #  CIRCLED NUMBER TWENTY
2474..24B5    >FFFD  #  PARENTHESIZED DIGIT ONE..PARENTHESIZED LATIN SMALL LETTER Z
24B6          >0061  #  CIRCLED LATIN CAPITAL LETTER A
24B7          >0062  #  CIRCLED LATIN CAPITAL LETTER B
24B8          >0063  #  CIRCLED LATIN CAPITAL LETTER C
24B9          >0064  #  CIRCLED LATIN CAPITAL LETTER D
24BA          >0065  #  CIRCLED LATIN CAPITAL LETTER E
24BB          >0066  #  CIRCLED LATIN CAPITAL LETTER F
24BC          >0067  #  CIRCLED LATIN CAPITAL LETTER G
24BD          >0068  #  CIRCLED LATIN CAPITAL LETTER H
24BE          >0069  #  CIRCLED LATIN CAPITAL LETTER I
24BF          >006A  #  CIRCLED LATIN CAPITAL LETTER J
24C0          >006B  #  CIRCLED LATIN CAPITAL LETTER K
24C1          >006C  #  CIRCLED LATIN CAPITAL LETTER L
24C2          >006D  #  CIRCLED LATIN CAPITAL LETTER M
24C3          >006E  #  CIRCLED LATIN CAPITAL LETTER N
24C4          >006F  #  CIRCLED LATIN CAPITAL LETTER O
24C5          >0070  #  CIRCLED LATIN CAPITAL LETTER P
24C6          >0071  #  CIRCLED LATIN CAPITAL LETTER Q
24C7          >0072  #  CIRCLED LATIN CAPITAL LETTER R
24C8          >0073  #  CIRCLED LATIN CAPITAL LETTER S
24C9          >0074  #  CIRCLED LATIN CAPITAL LETTER T
24CA          >0075  #  CIRCLED LATIN CAPITAL LETTER U
24CB          >0076  #  CIRCLED LATIN CAPITAL LETTER V
24CC          >0077  #  CIRCLED LATIN CAPITAL LETTER W
24CD          >0078  #  CIRCLED LATIN CAPITAL LETTER X
24CE          >0079  #  CIRCLED LATIN CAPITAL LETTER Y
24CF          >007A  #  CIRCLED LATIN CAPITAL LETTER Z
24D0          >0061  #  CIRCLED LATIN SMALL LETTER A
24D1          >0062  #  CIRCLED LATIN SMALL LETTER B
24D2          >0063  #  CIRCLED LATIN SMALL LETTER C
24D3          >0064  #  CIRCLED LATIN SMALL LETTER D
24D4          >0065  #  CIRCLED LATIN SMALL LETTER E
24D5          >0066  #  CIRCLED LATIN SMALL LETTER F
24D6          >0067  #  CIRCLED LATIN SMALL LETTER G
24D7          >0068  #  CIRCLED LATIN SMALL LETTER H
24D8          >0069  #  CIRCLED LATIN SMALL LETTER I
24D9          >006A  #  CIRCLED LATIN SMALL LETTER J
24DA          >006B  #  CIRCLED LATIN SMALL LETTER K
24DB          >006C  #  CIRCLED LATIN SMALL LETTER L
24DC          >006D  #  CIRCLED LATIN SMALL LETTER M
24DD          >006E  #  CIRCLED LATIN SMALL LETTER N
24DE          >006F  #  CIRCLED LATIN SMALL LETTER O
24DF          >0070  #  CIRCLED LATIN SMALL LETTER P
24E0          >0071  #  CIRCLED LATIN SMALL LETTER Q
24E1          >0072  #  CIRCLED LATIN SMALL LETTER R
24E2          >0073  #  CIRCLED LATIN SMALL LETTER S
24E3          >0074  #  CIRCLED LATIN SMALL LETTER T
24E4          >0075  #  CIRCLED LATIN SMALL LETTER U
24E5          >0076  #  CIRCLED LATIN SMALL LETTER V
24E6          >0077  #  CIRCLED LATIN SMALL LETTER W
24E7          >0078  #  CIRCLED LATIN SMALL LETTER X
24E8          >0079  #  CIRCLED LATIN SMALL LETTER Y
24E9          >007A  #  CIRCLED LATIN SMALL LETTER Z
24EA          >0030  #  CIRCLED DIGIT ZERO
# 24EB..26CD  valid  #  NEGATIVE CIRCLED NUMBER ELEVEN..DISABLED CAR
26CE          >FFFD  #  <reserved-26CE>
# 26CF..26E1  valid  #  PICK..RESTRICTED LEFT ENTRY-2
26E2          >FFFD  #  <reserved-26E2>
# 26E3        valid  #  HEAVY CIRCLE WITH STROKE AND TWO DOTS ABOVE
26E4..26E7    >FFFD  #  <reserved-26E4>..<reserved-26E7>
# 26E8..26FF  valid  #  BLACK CROSS ON SHIELD..WHITE FLAG WITH HORIZONTAL MIDDLE BLACK STRIPE
2700          >FFFD  #  <reserved-2700>
# 2701..2704  valid  #  UPPER BLADE SCISSORS..WHITE SCISSORS
2705          >FFFD  #  <reserved-2705>
# 2706..2709  valid  #  TELEPHONE LOCATION SIGN..ENVELOPE
270A..270B    >FFFD  #  <reserved-270A>..<reserved-270B>
# 270C..2727  valid  #  VICTORY HAND..WHITE FOUR POINTED STAR
2728          >FFFD  #  <reserved-2728>
# 2729..274B  valid  #  STRESS OUTLINED WHITE STAR..HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
274C          >FFFD  #  <reserved-274C>
# 274D        valid  #  SHADOWED WHITE CIRCLE
274E          >FFFD  #  <reserved-274E>
# 274F..2752  valid  #  LOWER RIGHT DROP-SHADOWED WHITE SQUARE..UPPER RIGHT SHADOWED WHITE SQUARE
2753..2755    >FFFD  #  <reserved-2753>..<reserved-2755>
# 2756..275E  valid  #  BLACK DIAMOND MINUS WHITE X..HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT
275F..2760    >FFFD  #  <reserved-275F>..<reserved-2760>
# 2761..2794  valid  #  CURVED STEM PARAGRAPH SIGN ORNAMENT..HEAVY WIDE-HEADED RIGHTWARDS ARROW
2795..2797    >FFFD  #  <reserved-2795>..<reserved-2797>
# 2798..27AF  valid  #  HEAVY SOUTH EAST ARROW..NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW
27B0          >FFFD  #  <reserved-27B0>
# 27B1..27BE  valid  #  NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW..OPEN-OUTLINED RIGHTWARDS ARROW
27BF          >FFFD  #  <reserved-27BF>
# 27C0..27CA  valid  #  THREE DIMENSIONAL ANGLE..VERTICAL BAR WITH HORIZONTAL STROKE
27CB          >FFFD  #  <reserved-27CB>
# 27CC        valid  #  LONG DIVISION
27CD..27CF    >FFFD  #  <reserved-27CD>..<reserved-27CF>
# 27D0..2A0B  valid  #  WHITE DIAMOND WITH CENTRED DOT..SUMMATION WITH INTEGRAL
2A0C          >222B 222B 222B 222B  #  QUADRUPLE INTEGRAL OPERATOR
# 2A0D..2A73  valid  #  FINITE PART INTEGRAL..EQUALS SIGN ABOVE TILDE OPERATOR
2A74..2A76    >FFFD  #  DOUBLE COLON EQUAL..THREE CONSECUTIVE EQUALS SIGNS
# 2A77..2ADB  valid  #  EQUALS SIGN WITH TWO DOTS ABOVE AND TWO DOTS BELOW..TRANSVERSAL INTERSECTION
2ADC          >2ADD 0338  #  FORKING
# 2ADD..2B4C  valid  #  NONFORKING..RIGHTWARDS ARROW ABOVE REVERSE TILDE OPERATOR
2B4D..2B4F    >FFFD  #  <reserved-2B4D>..<reserved-2B4F>
# 2B50..2B59  valid  #  WHITE MEDIUM STAR..HEAVY CIRCLED SALTIRE
2B5A..2BFF    >FFFD  #  <reserved-2B5A>..<reserved-2BFF>
2C00          >2C30  #  GLAGOLITIC CAPITAL LETTER AZU
2C01          >2C31  #  GLAGOLITIC CAPITAL LETTER BUKY
2C02          >2C32  #  GLAGOLITIC CAPITAL LETTER VEDE
2C03          >2C33  #  GLAGOLITIC CAPITAL LETTER GLAGOLI
2C04          >2C34  #  GLAGOLITIC CAPITAL LETTER DOBRO
2C05          >2C35  #  GLAGOLITIC CAPITAL LETTER YESTU
2C06          >2C36  #  GLAGOLITIC CAPITAL LETTER ZHIVETE
2C07          >2C37  #  GLAGOLITIC CAPITAL LETTER DZELO
2C08          >2C38  #  GLAGOLITIC CAPITAL LETTER ZEMLJA
2C09          >2C39  #  GLAGOLITIC CAPITAL LETTER IZHE
2C0A          >2C3A  #  GLAGOLITIC CAPITAL LETTER INITIAL IZHE
2C0B          >2C3B  #  GLAGOLITIC CAPITAL LETTER I
2C0C          >2C3C  #  GLAGOLITIC CAPITAL LETTER DJERVI
2C0D          >2C3D  #  GLAGOLITIC CAPITAL LETTER KAKO
2C0E          >2C3E  #  GLAGOLITIC CAPITAL LETTER LJUDIJE
2C0F          >2C3F  #  GLAGOLITIC CAPITAL LETTER MYSLITE
2C10          >2C40  #  GLAGOLITIC CAPITAL LETTER NASHI
2C11          >2C41  #  GLAGOLITIC CAPITAL LETTER ONU
2C12          >2C42  #  GLAGOLITIC CAPITAL LETTER POKOJI
2C13          >2C43  #  GLAGOLITIC CAPITAL LETTER RITSI
2C14          >2C44  #  GLAGOLITIC CAPITAL LETTER SLOVO
2C15          >2C45  #  GLAGOLITIC CAPITAL LETTER TVRIDO
2C16          >2C46  #  GLAGOLITIC CAPITAL LETTER UKU
2C17          >2C47  #  GLAGOLITIC CAPITAL LETTER FRITU
2C18          >2C48  #  GLAGOLITIC CAPITAL LETTER HERU
2C19          >2C49  #  GLAGOLITIC CAPITAL LETTER OTU
2C1A          >2C4A  #  GLAGOLITIC CAPITAL LETTER PE
2C1B          >2C4B  #  GLAGOLITIC CAPITAL LETTER SHTA
2C1C          >2C4C  #  GLAGOLITIC CAPITAL LETTER TSI
2C1D          >2C4D  #  GLAGOLITIC CAPITAL LETTER CHRIVI
2C1E          >2C4E  #  GLAGOLITIC CAPITAL LETTER SHA
2C1F          >2C4F  #  GLAGOLITIC CAPITAL LETTER YERU
2C20          >2C50  #  GLAGOLITIC CAPITAL LETTER YERI
2C21          >2C51  #  GLAGOLITIC CAPITAL LETTER YATI
2C22          >2C52  #  GLAGOLITIC CAPITAL LETTER SPIDERY HA
2C23          >2C53  #  GLAGOLITIC CAPITAL LETTER YU
2C24          >2C54  #  GLAGOLITIC CAPITAL LETTER SMALL YUS
2C25          >2C55  #  GLAGOLITIC CAPITAL LETTER SMALL YUS WITH TAIL
2C26          >2C56  #  GLAGOLITIC CAPITAL LETTER YO
2C27          >2C57  #  GLAGOLITIC CAPITAL LETTER IOTATED SMALL YUS
2C28          >2C58  #  GLAGOLITIC CAPITAL LETTER BIG YUS
2C29          >2C59  #  GLAGOLITIC CAPITAL LETTER IOTATED BIG YUS
2C2A          >2C5A  #  GLAGOLITIC CAPITAL LETTER FITA
2C2B          >2C5B  #  GLAGOLITIC CAPITAL LETTER IZHITSA
2C2C          >2C5C  #  GLAGOLITIC CAPITAL LETTER SHTAPIC
2C2D          >2C5D  #  GLAGOLITIC CAPITAL LETTER TROKUTASTI A
2C2E          >2C5E  #  GLAGOLITIC CAPITAL LETTER LATINATE MYSLITE
2C2F          >FFFD  #  <reserved-2C2F>
# 2C30..2C5E  valid  #  GLAGOLITIC SMALL LETTER AZU..GLAGOLITIC SMALL LETTER LATINATE MYSLITE
2C5F          >FFFD  #  <reserved-2C5F>
2C60          >2C61  #  LATIN CAPITAL LETTER L WITH DOUBLE BAR
# 2C61        valid  #  LATIN SMALL LETTER L WITH DOUBLE BAR
2C62          >026B  #  LATIN CAPITAL LETTER L WITH MIDDLE TILDE
2C63          >1D7D  #  LATIN CAPITAL LETTER P WITH STROKE
2C64          >027D  #  LATIN CAPITAL LETTER R WITH TAIL
# 2C65..2C66  valid  #  LATIN SMALL LETTER A WITH STROKE..LATIN SMALL LETTER T WITH DIAGONAL STROKE
2C67          >2C68  #  LATIN CAPITAL LETTER H WITH DESCENDER
# 2C68        valid  #  LATIN SMALL LETTER H WITH DESCENDER
2C69          >2C6A  #  LATIN CAPITAL LETTER K WITH DESCENDER
# 2C6A        valid  #  LATIN SMALL LETTER K WITH DESCENDER
2C6B          >2C6C  #  LATIN CAPITAL LETTER Z WITH DESCENDER
# 2C6C        valid  #  LATIN SMALL LETTER Z WITH DESCENDER
2C6D          >0251  #  LATIN CAPITAL LETTER ALPHA
2C6E          >0271  #  LATIN CAPITAL LETTER M WITH HOOK
2C6F          >0250  #  LATIN CAPITAL LETTER TURNED A
2C70          >0252  #  LATIN CAPITAL LETTER TURNED ALPHA
# 2C71        valid  #  LATIN SMALL LETTER V WITH RIGHT HOOK
2C72          >2C73  #  LATIN CAPITAL LETTER W WITH HOOK
# 2C73..2C74  valid  #  LATIN SMALL LETTER W WITH HOOK..LATIN SMALL LETTER V WITH CURL
2C75          >2C76  #  LATIN CAPITAL LETTER HALF H
# 2C76..2C7B  valid  #  LATIN SMALL LETTER HALF H..LATIN LETTER SMALL CAPITAL TURNED E
2C7C          >006A  #  LATIN SUBSCRIPT SMALL LETTER J
2C7D          >0076  #  MODIFIER LETTER CAPITAL V
2C7E          >023F  #  LATIN CAPITAL LETTER S WITH SWASH TAIL
2C7F          >0240  #  LATIN CAPITAL LETTER Z WITH SWASH TAIL
2C80          >2C81  #  COPTIC CAPITAL LETTER ALFA
# 2C81        valid  #  COPTIC SMALL LETTER ALFA
2C82          >2C83  #  COPTIC CAPITAL LETTER VIDA
# 2C83        valid  #  COPTIC SMALL LETTER VIDA
2C84          >2C85  #  COPTIC CAPITAL LETTER GAMMA
# 2C85        valid  #  COPTIC SMALL LETTER GAMMA
2C86          >2C87  #  COPTIC CAPITAL LETTER DALDA
# 2C87        valid  #  COPTIC SMALL LETTER DALDA
2C88          >2C89  #  COPTIC CAPITAL LETTER EIE
# 2C89        valid  #  COPTIC SMALL LETTER EIE
2C8A          >2C8B  #  COPTIC CAPITAL LETTER SOU
# 2C8B        valid  #  COPTIC SMALL LETTER SOU
2C8C          >2C8D  #  COPTIC CAPITAL LETTER ZATA
# 2C8D        valid  #  COPTIC SMALL LETTER ZATA
2C8E          >2C8F  #  COPTIC CAPITAL LETTER HATE
# 2C8F        valid  #  COPTIC SMALL LETTER HATE
2C90          >2C91  #  COPTIC CAPITAL LETTER THETHE
# 2C91        valid  #  COPTIC SMALL LETTER THETHE
2C92          >2C93  #  COPTIC CAPITAL LETTER IAUDA
# 2C93        valid  #  COPTIC SMALL LETTER IAUDA
2C94          >2C95  #  COPTIC CAPITAL LETTER KAPA
# 2C95        valid  #  COPTIC SMALL LETTER KAPA
2C96          >2C97  #  COPTIC CAPITAL LETTER LAULA
# 2C97        valid  #  COPTIC SMALL LETTER LAULA
2C98          >2C99  #  COPTIC CAPITAL LETTER MI
# 2C99        valid  #  COPTIC SMALL LETTER MI
2C9A          >2C9B  #  COPTIC CAPITAL LETTER NI
# 2C9B        valid  #  COPTIC SMALL LETTER NI
2C9C          >2C9D  #  COPTIC CAPITAL LETTER KSI
# 2C9D        valid  #  COPTIC SMALL LETTER KSI
2C9E          >2C9F  #  COPTIC CAPITAL LETTER O
# 2C9F        valid  #  COPTIC SMALL LETTER O
2CA0          >2CA1  #  COPTIC CAPITAL LETTER PI
# 2CA1        valid  #  COPTIC SMALL LETTER PI
2CA2          >2CA3  #  COPTIC CAPITAL LETTER RO
# 2CA3        valid  #  COPTIC SMALL LETTER RO
2CA4          >2CA5  #  COPTIC CAPITAL LETTER SIMA
# 2CA5        valid  #  COPTIC SMALL LETTER SIMA
2CA6          >2CA7  #  COPTIC CAPITAL LETTER TAU
# 2CA7        valid  #  COPTIC SMALL LETTER TAU
